study_hours_per_day,dsa_hours_per_week,dsa_problems_solved,projects_count,internships,cgpa,mock_interviews,communication_score,resume_score,hackathons_participated,placement_status
2.1,2.9,26,2,0,5.84,5,7.5,5.3,2,Placed
3.6,7.6,73,1,1,7.98,3,4.5,4.5,3,Placed
4.5,9.6,78,0,1,8.5,3,4.6,3.6,1,Not Placed
4.6,8.2,112,1,1,7.73,4,6.2,3.6,1,Placed
3.8,9.0,133,2,1,7.59,1,5.9,5.5,3,Placed
5.4,3.7,33,0,0,7.88,3,7.1,4.2,1,Placed
2.9,1.7,16,2,1,5.49,4,6.0,4.8,4,Not Placed
4.3,10.5,147,2,1,6.46,3,8.6,4.7,1,Placed
4.7,5.0,72,0,1,8.14,1,3.6,4.0,6,Placed
5.3,5.2,57,1,1,8.53,4,7.3,5.3,2,Placed
5.6,10.0,83,2,0,8.52,2,6.3,1.6,4,Placed
2.8,7.7,63,0,1,6.65,4,3.9,5.0,2,Not Placed
2.2,7.4,88,4,0,6.86,1,2.9,3.4,0,Placed
6.4,12.5,134,4,0,8.17,4,4.3,7.0,4,Placed
5.0,4.1,33,1,0,7.93,2,7.8,4.9,1,Not Placed
3.4,8.8,106,2,1,6.55,4,7.6,5.8,1,Placed
6.8,6.2,49,3,1,7.67,2,5.8,5.9,5,Placed
4.7,6.8,91,4,1,7.94,7,5.5,5.4,0,Placed
6.3,10.6,107,3,1,9.03,3,4.7,5.2,1,Placed
4.6,7.5,62,1,0,9.03,2,5.7,5.5,0,Not Placed
7.6,7.6,92,3,1,8.98,2,5.3,4.5,1,Placed
7.1,9.2,99,1,0,7.83,3,8.6,5.4,1,Placed
4.1,4.9,72,1,0,6.83,2,4.1,2.0,5,Not Placed
6.0,3.5,41,1,0,7.88,0,6.6,3.7,2,Not Placed
5.5,2.9,28,3,1,7.84,0,8.6,9.1,4,Placed
6.6,0.1,1,0,1,8.61,4,7.2,5.1,1,Not Placed
3.1,12.2,120,3,0,6.78,3,4.3,4.7,3,Placed
5.5,2.7,38,0,0,8.31,2,3.7,1.9,0,Not Placed
6.1,5.3,56,2,1,8.18,0,6.4,8.1,0,Placed
1.9,5.2,61,0,0,5.0,3,6.2,2.2,3,Placed
2.7,6.9,57,0,1,6.52,9,7.8,3.3,2,Placed
1.4,8.4,92,0,1,5.78,3,6.8,6.1,0,Not Placed
4.1,8.6,118,1,0,7.43,5,5.3,2.9,3,Not Placed
5.6,4.3,57,1,0,7.54,7,5.2,3.6,2,Not Placed
6.8,5.5,52,3,1,8.53,4,4.0,6.5,2,Placed
4.6,6.8,65,1,1,7.69,4,6.2,5.1,2,Placed
6.9,5.3,72,0,0,8.36,1,3.9,4.2,3,Placed
2.4,10.8,157,3,1,6.69,2,7.4,6.6,1,Placed
1.9,7.5,64,2,0,6.02,3,6.9,3.9,1,Placed
4.4,8.2,91,1,0,7.32,4,6.8,1.7,4,Placed
5.1,8.0,82,1,1,5.49,2,4.0,3.9,1,Placed
4.5,9.5,134,3,1,6.42,2,5.8,3.5,3,Placed
1.4,6.5,56,3,0,5.0,0,5.4,4.8,4,Placed
4.4,2.1,19,1,1,7.33,2,6.2,6.1,1,Placed
2.5,7.2,95,2,0,7.16,2,6.8,4.6,2,Placed
5.5,4.0,33,3,0,7.67,2,5.2,4.6,2,Placed
5.0,4.4,50,2,0,8.12,4,5.3,4.8,0,Placed
3.1,7.8,86,1,1,7.0,2,7.0,5.8,1,Not Placed
3.7,9.7,100,2,0,6.96,4,4.3,4.5,1,Placed
2.9,6.1,65,1,0,6.86,3,4.9,3.0,0,Not Placed
4.4,6.9,81,2,0,7.38,1,6.0,2.0,1,Not Placed
5.9,11.1,101,4,1,7.87,3,7.3,8.3,2,Placed
3.0,6.7,80,1,1,6.78,6,4.5,3.6,1,Placed
5.3,13.8,188,0,1,8.64,4,8.7,4.5,4,Placed
3.7,7.7,102,1,0,7.18,2,4.0,2.9,2,Placed
3.3,0.7,6,4,1,6.81,6,8.3,7.7,1,Placed
4.3,8.3,74,2,0,6.56,3,7.8,4.4,2,Placed
2.9,7.1,70,0,1,7.46,2,3.9,1.6,1,Placed
3.7,9.9,103,1,1,5.85,5,3.6,3.8,2,Not Placed
2.7,8.0,87,0,0,5.16,4,7.1,2.7,0,Not Placed
7.4,5.6,71,3,1,8.98,2,5.4,5.6,3,Placed
4.6,2.3,19,1,0,6.66,4,4.5,3.2,0,Placed
3.5,5.4,44,2,0,7.49,2,8.7,6.5,0,Placed
4.8,3.4,37,2,0,6.23,1,4.2,5.4,1,Not Placed
4.3,4.3,54,3,0,7.84,3,4.9,4.5,2,Placed
4.2,7.8,72,2,0,7.66,2,5.1,3.3,1,Placed
5.4,11.0,137,1,1,7.79,3,1.8,4.2,2,Placed
5.6,7.2,70,4,0,6.35,5,6.1,6.5,1,Placed
3.7,2.4,34,2,1,5.65,3,4.6,4.7,0,Not Placed
3.6,7.3,104,2,0,6.99,2,7.2,5.0,0,Placed
4.1,9.6,96,1,0,6.88,0,7.4,4.3,1,Not Placed
1.0,4.2,40,4,1,6.03,2,6.3,6.7,2,Placed
2.2,5.6,60,1,0,6.07,2,6.4,3.7,2,Not Placed
6.6,6.0,58,3,0,8.17,5,6.2,3.9,2,Placed
7.0,3.6,46,2,1,6.79,1,4.9,4.7,1,Placed
4.1,7.9,109,1,0,7.64,1,5.1,4.9,1,Placed
5.4,5.6,71,1,0,7.23,2,8.0,3.8,1,Not Placed
5.0,7.3,99,0,0,7.2,2,7.1,3.3,0,Placed
9.1,3.3,35,1,1,8.81,3,6.3,3.9,0,Not Placed
6.2,4.7,42,1,1,7.01,1,6.9,6.2,0,Placed
4.3,8.2,107,1,1,8.18,2,5.9,5.4,2,Placed
3.1,4.9,51,3,1,7.09,1,6.3,4.7,0,Not Placed
2.1,11.2,141,2,0,6.61,0,6.9,2.6,2,Placed
4.8,4.8,47,3,0,7.25,4,2.9,4.1,2,Not Placed
3.4,6.7,57,0,1,5.47,2,7.4,3.3,1,Not Placed
2.4,8.8,131,1,0,7.65,3,7.3,5.1,4,Not Placed
3.5,1.7,15,1,0,7.06,4,4.8,2.4,1,Not Placed
2.9,0.7,10,5,0,6.53,4,7.9,7.6,3,Placed
7.0,1.4,21,5,0,8.26,6,2.7,4.8,2,Not Placed
5.8,9.8,132,3,1,6.48,3,6.5,5.5,1,Placed
4.5,4.3,54,3,0,8.04,4,6.1,4.0,5,Placed
6.7,13.7,164,2,0,7.62,1,5.5,4.5,5,Placed
4.6,4.3,60,2,0,7.69,4,6.0,3.5,0,Not Placed
3.2,6.6,65,2,1,7.14,5,6.9,6.7,3,Placed
6.8,10.6,119,0,0,8.63,0,3.3,1.0,2,Not Placed
5.3,12.0,148,2,0,7.98,1,7.5,5.3,1,Placed
2.9,12.2,132,1,1,7.41,5,5.4,3.9,3,Placed
4.2,9.6,105,2,1,6.55,5,7.5,6.0,2,Placed
3.2,9.1,93,2,0,6.71,5,7.0,4.0,2,Placed
2.4,7.8,92,4,0,6.06,3,5.4,4.9,1,Placed
5.9,8.3,116,4,0,6.66,3,5.9,2.8,2,Placed
7.4,4.3,40,2,0,8.88,5,6.0,3.4,0,Placed
2.4,3.5,51,2,0,7.08,4,8.4,4.8,1,Placed
5.3,6.0,76,4,0,8.64,2,4.3,4.5,3,Placed
3.5,5.5,75,2,0,8.06,1,5.3,5.2,1,Placed
3.8,4.6,55,4,0,5.64,3,3.6,3.5,3,Placed
3.6,8.1,108,0,1,7.95,3,6.2,5.5,1,Placed
3.2,8.9,71,0,1,6.73,5,5.1,2.7,2,Placed
4.6,6.3,86,2,1,8.41,5,5.2,3.7,0,Not Placed
3.3,10.4,86,2,0,6.35,4,8.2,3.4,0,Placed
4.9,2.6,36,3,0,7.08,2,4.8,4.8,0,Placed
4.4,5.4,80,3,1,6.36,1,5.8,5.8,2,Placed
4.1,3.8,38,4,0,7.61,4,5.3,5.6,1,Placed
3.1,0.4,3,1,0,6.93,2,5.4,3.4,4,Not Placed
3.6,5.8,76,2,0,6.04,2,10.0,6.2,1,Placed
5.6,5.6,55,1,1,6.3,3,3.4,3.6,1,Not Placed
5.3,10.5,148,1,1,7.92,1,7.0,7.2,1,Placed
3.0,7.9,68,5,0,6.89,3,9.6,7.3,3,Placed
4.6,2.9,26,1,0,6.63,3,7.6,6.5,0,Not Placed
5.6,11.6,171,3,1,6.98,10,6.1,6.7,5,Placed
2.0,9.7,122,1,0,6.46,2,4.2,3.1,0,Not Placed
5.3,7.7,107,0,1,8.96,2,8.0,5.5,0,Placed
3.5,5.3,54,1,1,6.41,3,7.4,2.1,0,Placed
5.4,3.1,39,0,1,7.06,9,3.7,2.6,1,Not Placed
3.4,4.9,59,1,0,6.89,3,5.5,2.7,3,Placed
1.8,9.3,113,3,0,6.34,2,4.2,6.0,0,Placed
2.1,11.7,148,2,0,5.77,2,1.7,1.7,0,Placed
4.6,10.6,127,1,1,8.7,2,4.2,3.6,3,Placed
4.9,4.5,49,3,1,8.08,2,6.2,5.8,3,Placed
3.1,2.6,26,3,0,6.3,2,6.9,3.9,0,Placed
5.5,6.4,85,0,0,6.61,4,5.5,2.2,0,Placed
2.0,0.7,6,2,1,6.93,1,8.1,7.0,0,Not Placed
4.4,7.0,89,1,1,8.03,0,7.5,3.2,2,Placed
2.7,5.6,53,2,1,6.13,2,5.8,5.4,1,Not Placed
3.5,4.6,56,0,0,7.01,7,5.6,1.9,4,Placed
4.6,1.2,16,3,0,7.18,2,6.6,6.4,1,Placed
3.2,7.5,71,2,1,6.97,2,6.0,5.6,1,Placed
3.9,4.4,37,4,1,6.24,3,3.9,3.8,3,Placed
6.0,2.5,22,1,0,7.19,3,5.6,3.0,0,Not Placed
3.6,0.0,0,4,0,7.38,2,7.0,6.4,2,Placed
5.8,5.9,82,1,0,8.53,4,8.0,4.3,1,Placed
2.8,11.3,94,1,0,6.06,5,7.4,4.5,0,Not Placed
5.3,11.0,144,0,0,7.12,4,6.5,3.2,1,Placed
6.7,4.6,48,4,1,9.13,2,8.2,8.4,1,Placed
1.0,4.2,47,4,0,5.0,5,6.6,6.2,2,Placed
3.3,7.4,107,2,1,6.69,2,5.9,5.1,1,Placed
5.4,3.0,31,2,0,7.63,2,8.2,5.3,2,Placed
4.2,6.9,77,2,1,6.07,4,7.1,4.7,1,Not Placed
5.1,8.3,67,2,1,7.66,4,8.0,7.6,1,Placed
3.6,9.7,82,4,0,6.86,2,4.2,7.5,2,Placed
4.6,5.7,55,0,0,7.57,6,4.7,2.0,4,Not Placed
4.3,5.4,44,4,0,7.24,3,4.8,4.8,0,Not Placed
6.3,3.4,41,1,0,9.62,7,6.3,4.8,2,Placed
4.9,3.5,38,1,1,8.25,1,8.7,7.0,1,Placed
5.0,5.3,62,2,1,7.53,1,4.3,4.5,0,Not Placed
3.9,7.1,65,3,0,7.03,2,7.4,4.5,4,Placed
3.8,8.7,88,2,0,8.12,0,4.2,5.1,0,Placed
3.9,3.6,45,6,0,7.53,4,9.2,8.9,2,Placed
5.1,10.5,154,5,1,6.69,5,3.6,6.0,0,Placed
3.9,5.2,43,2,0,7.6,2,7.1,4.0,2,Placed
4.9,5.9,84,3,0,8.34,1,7.3,5.5,2,Placed
7.6,3.8,45,2,1,9.94,2,6.9,3.9,2,Placed
5.8,0.0,0,2,1,7.62,9,4.7,5.3,2,Placed
4.0,8.7,99,2,0,6.67,3,4.4,4.4,0,Placed
6.3,8.2,69,2,1,7.49,2,7.9,6.4,0,Placed
3.9,5.2,44,2,0,7.16,6,7.6,4.0,2,Placed
1.4,6.2,75,1,0,6.23,5,7.6,4.8,2,Placed
3.0,7.5,78,0,1,6.13,1,7.7,5.7,2,Not Placed
1.7,1.3,18,5,1,5.75,1,3.7,5.1,1,Placed
4.0,4.4,47,5,0,5.55,4,3.7,5.8,2,Not Placed
4.5,8.4,75,1,0,8.32,0,5.0,3.6,1,Placed
7.0,2.2,29,2,0,7.41,1,5.3,3.6,1,Placed
5.0,6.9,69,0,0,7.76,1,5.1,2.0,0,Not Placed
4.2,1.9,22,1,0,7.25,2,6.4,3.6,1,Not Placed
5.7,7.4,95,2,0,7.9,6,7.7,4.1,1,Placed
1.2,5.9,84,0,0,5.64,2,5.6,3.0,0,Not Placed
4.9,1.2,15,2,1,6.72,8,4.8,5.1,2,Placed
5.7,9.5,120,4,1,7.6,2,7.2,8.2,1,Placed
2.3,3.8,48,3,1,6.82,1,5.6,5.9,1,Not Placed
6.2,3.6,52,3,0,8.99,3,6.2,5.3,1,Placed
5.0,6.6,66,5,1,7.21,2,5.5,6.5,0,Placed
3.9,9.4,75,3,1,5.85,2,6.5,5.2,0,Not Placed
5.4,3.0,29,6,1,7.18,1,4.5,6.4,3,Not Placed
7.9,6.2,58,1,1,10.0,4,7.1,6.6,1,Placed
4.8,7.3,92,4,1,6.88,3,6.0,7.0,1,Not Placed
4.9,8.1,100,0,0,7.37,1,4.9,2.8,3,Placed
3.8,6.5,79,2,0,7.9,2,6.8,2.8,1,Placed
3.2,4.9,39,4,1,6.24,2,4.9,6.1,2,Placed
5.7,3.5,46,2,1,7.76,2,4.9,3.3,6,Not Placed
3.2,6.3,64,3,1,7.16,4,4.2,3.6,0,Placed
4.6,2.8,35,0,0,8.5,8,3.4,1.0,3,Not Placed
3.8,0.0,0,0,0,6.44,5,6.8,2.6,2,Not Placed
5.2,7.3,76,2,0,8.58,2,7.7,5.9,3,Placed
5.0,8.7,77,5,1,7.3,4,5.3,6.9,1,Placed
6.1,0.0,0,1,0,7.41,2,4.8,2.1,1,Placed
3.7,3.0,41,1,0,7.04,3,3.3,1.7,4,Placed
4.1,7.9,113,2,0,6.24,3,2.7,3.1,3,Placed
3.0,12.2,152,2,0,6.85,6,7.1,5.4,1,Placed
3.8,6.1,52,1,1,9.12,7,3.0,3.3,1,Placed
5.1,3.8,41,0,1,8.31,3,4.3,2.0,1,Not Placed
5.6,5.5,71,3,1,7.74,3,6.4,5.6,0,Placed
3.1,10.1,136,1,0,7.29,2,6.1,6.0,2,Placed
5.8,4.1,35,1,1,7.25,2,6.5,3.6,0,Placed
6.5,3.6,28,1,0,7.73,1,6.0,4.0,2,Placed
5.1,4.6,59,2,1,7.51,4,5.5,7.1,2,Placed
7.3,3.1,32,2,0,8.72,3,4.3,3.1,3,Placed
3.3,6.4,62,2,0,5.76,1,5.0,5.6,3,Placed
2.6,10.9,87,0,1,6.1,4,5.6,3.1,2,Placed
1.8,7.0,82,3,1,5.81,1,3.2,2.4,2,Placed
6.7,5.2,73,4,0,9.45,5,4.8,4.2,2,Placed
5.5,5.1,75,1,1,6.84,4,5.4,3.6,3,Placed
4.4,1.3,15,5,0,6.24,3,5.0,3.8,3,Placed
4.9,8.6,100,2,0,7.58,5,5.5,3.5,2,Not Placed
2.8,5.8,49,1,0,7.21,0,7.0,5.1,3,Not Placed
8.2,5.5,64,3,0,9.47,1,7.2,4.8,1,Placed
4.7,15.6,166,2,0,7.56,1,8.3,5.0,3,Placed
4.7,6.9,84,1,0,7.13,4,3.7,3.8,2,Placed
5.6,3.7,40,2,0,8.27,2,5.4,3.1,0,Placed
5.2,4.7,45,1,1,8.19,6,7.8,6.1,1,Placed
4.8,9.4,81,4,0,7.24,1,3.4,2.4,0,Placed
3.3,6.3,64,3,1,5.99,4,4.2,4.0,6,Placed
5.2,1.7,14,3,0,6.94,4,5.1,4.1,0,Not Placed
7.3,8.8,80,5,1,9.28,1,9.1,9.7,0,Placed
6.5,4.0,59,1,0,7.18,2,4.5,2.0,0,Placed
6.9,11.6,129,3,0,9.62,3,7.6,4.7,1,Placed
3.7,9.2,108,3,0,6.55,8,6.0,5.1,1,Placed
3.0,4.7,65,5,0,6.72,0,4.3,5.6,1,Not Placed
4.3,9.8,147,2,0,7.65,1,10.0,5.2,1,Placed
4.6,6.2,74,0,1,6.81,3,6.3,3.6,5,Placed
6.1,8.6,117,2,1,7.75,1,6.6,6.6,3,Placed
2.0,7.5,76,4,1,6.07,4,6.8,5.6,2,Placed
6.8,3.5,35,1,1,7.8,4,6.7,5.3,1,Placed
4.3,4.1,44,4,0,6.38,0,9.2,6.5,1,Placed
3.9,9.1,115,2,0,6.25,1,8.7,6.9,1,Placed
3.0,5.0,63,1,0,7.34,6,4.6,3.5,0,Placed
2.0,4.8,48,2,0,6.29,5,9.0,6.6,1,Placed
5.7,3.1,28,2,0,7.31,2,4.9,3.1,0,Placed
4.6,7.3,90,2,0,7.92,3,6.5,5.3,3,Not Placed
2.6,12.2,108,3,0,5.77,7,3.8,4.5,4,Placed
2.6,2.8,33,4,0,5.0,1,7.6,6.7,1,Not Placed
4.0,6.1,78,2,1,7.49,4,5.5,4.7,0,Not Placed
7.0,10.2,132,0,1,9.65,3,4.3,3.3,1,Not Placed
4.1,5.8,76,2,0,7.45,2,7.8,3.2,0,Not Placed
2.2,7.4,103,2,1,5.0,2,8.2,8.0,1,Placed
4.1,2.8,32,1,1,7.05,3,8.2,5.1,2,Not Placed
4.1,7.3,95,1,0,6.85,6,3.7,2.1,0,Placed
1.0,5.4,67,1,0,5.76,4,8.4,3.5,0,Not Placed
4.4,9.0,83,1,0,6.62,1,5.5,4.0,0,Not Placed
4.2,9.6,78,2,1,6.84,3,9.1,7.3,0,Placed
5.5,13.8,137,1,1,6.78,3,6.9,4.8,0,Placed
7.3,7.7,85,2,0,8.79,1,6.4,2.1,1,Not Placed
6.2,7.0,85,4,0,7.13,2,6.0,4.7,4,Placed
4.1,6.6,91,4,0,7.35,1,6.0,5.8,2,Placed
2.8,4.9,46,2,0,5.89,2,5.0,3.9,2,Placed
8.4,7.0,62,2,0,6.98,4,4.4,3.4,3,Placed
4.6,5.1,75,2,1,7.85,0,5.5,4.5,2,Placed
4.5,6.5,56,0,1,7.61,2,7.8,3.3,2,Placed
4.5,10.0,112,1,1,8.18,0,3.9,4.5,3,Placed
4.8,3.0,36,0,1,5.94,5,8.0,3.6,1,Not Placed
4.3,9.4,111,1,1,6.68,1,6.2,4.5,1,Not Placed
3.6,10.0,85,1,0,6.91,1,7.2,3.2,2,Placed
3.7,5.6,47,3,1,7.24,1,7.2,7.4,0,Placed
4.5,0.0,0,2,0,6.2,5,7.4,5.5,0,Not Placed
3.7,4.2,50,2,1,7.14,2,6.0,4.9,3,Placed
3.4,9.9,116,3,0,6.32,2,6.1,5.5,1,Placed
4.7,5.9,57,1,1,6.03,2,7.3,3.8,0,Placed
4.1,3.0,37,6,0,6.53,1,4.4,5.7,2,Not Placed
6.8,4.5,61,2,0,8.74,2,4.2,2.2,3,Placed
1.0,8.5,70,4,0,5.0,1,5.3,6.1,4,Placed
6.1,7.6,87,2,0,8.51,8,6.4,4.8,1,Placed
6.4,5.3,67,0,1,8.38,10,8.9,6.1,2,Placed
1.4,4.9,47,3,1,5.52,3,6.1,5.3,0,Placed
4.0,4.8,48,1,0,5.85,3,9.0,5.8,1,Placed
3.9,3.2,39,1,0,5.88,5,6.8,2.9,2,Not Placed
2.4,10.8,154,2,0,5.92,0,5.3,2.9,5,Not Placed
3.3,5.0,68,1,0,5.88,2,7.7,4.3,1,Not Placed
2.8,9.7,116,3,0,6.18,3,5.6,3.7,2,Not Placed
7.1,10.6,138,2,1,9.2,1,6.4,6.1,2,Placed
5.9,9.0,94,4,0,7.76,0,4.0,3.9,3,Placed
6.4,4.7,58,0,0,7.99,1,3.7,1.0,3,Placed
5.6,7.2,81,2,0,7.58,2,6.8,3.4,3,Placed
2.8,5.9,55,2,0,7.11,0,7.7,5.7,1,Not Placed
3.7,3.3,42,2,0,7.76,6,8.9,3.1,0,Not Placed
5.2,7.0,82,3,1,7.91,5,4.8,4.2,1,Placed
2.7,2.5,25,3,0,6.43,3,8.2,7.3,2,Placed
5.6,9.6,137,0,0,7.95,3,8.0,3.6,2,Not Placed
4.1,4.6,37,2,0,8.07,1,5.3,4.5,1,Placed
3.9,6.6,67,2,0,7.3,2,8.1,5.7,1,Placed
5.6,6.8,57,3,0,8.85,6,7.4,5.3,0,Placed
5.2,5.2,69,3,1,7.29,2,7.7,5.0,1,Placed
4.0,7.8,100,1,1,6.04,5,9.3,4.9,4,Placed
6.2,4.6,47,1,0,7.65,5,7.7,3.1,1,Placed
2.9,8.6,109,2,0,6.05,2,2.8,3.1,1,Placed
5.4,2.0,21,1,0,8.84,5,6.5,4.5,1,Placed
5.4,6.4,84,2,0,8.21,5,3.6,2.1,0,Placed
4.0,11.8,132,5,1,6.57,4,6.2,7.0,0,Placed
5.0,3.0,32,4,1,8.06,4,6.1,6.5,0,Placed
2.6,4.0,57,3,0,6.22,1,5.1,4.4,0,Placed
5.9,7.5,73,4,0,9.09,0,4.5,3.9,1,Placed
4.2,6.5,57,0,0,6.88,1,5.2,4.2,2,Placed
3.7,7.1,85,0,1,5.78,1,5.5,4.4,2,Not Placed
6.1,7.5,110,0,1,7.91,4,5.8,4.0,1,Placed
3.4,7.9,84,1,0,6.49,1,6.2,3.2,0,Not Placed
2.4,9.3,78,2,0,5.25,4,6.9,3.8,2,Placed
2.2,7.2,75,1,1,6.49,3,5.5,4.8,0,Placed
5.4,5.3,60,1,0,8.7,1,7.9,4.1,2,Not Placed
2.6,8.0,73,0,0,5.5,7,5.9,3.1,2,Not Placed
7.1,11.7,147,3,0,9.25,2,7.4,3.6,2,Placed
1.4,5.6,83,3,1,5.26,7,5.5,5.0,2,Not Placed
7.0,3.1,34,2,0,8.51,3,10.0,6.1,0,Placed
4.8,9.3,97,2,0,7.32,4,6.7,5.5,3,Placed
4.4,5.6,60,1,1,7.16,3,8.5,4.9,4,Placed
3.7,0.0,0,0,0,7.17,3,5.0,1.0,2,Not Placed
5.1,8.5,121,1,0,6.83,2,5.3,3.7,1,Not Placed
4.4,4.4,47,0,0,8.13,3,5.6,2.7,3,Not Placed
6.2,5.7,61,4,0,8.43,3,9.7,5.5,0,Placed
4.7,7.0,88,2,1,7.92,4,5.7,3.4,2,Placed
4.7,6.6,72,1,0,6.82,2,4.8,2.3,2,Not Placed
4.0,8.1,101,5,0,6.2,1,8.0,6.9,1,Placed
4.4,4.7,39,1,0,8.04,3,6.1,5.0,1,Not Placed
5.0,7.5,103,2,1,6.67,5,5.7,4.0,0,Placed
1.9,5.2,76,3,1,6.07,5,5.1,5.9,2,Placed
2.5,8.2,103,1,0,6.95,1,6.7,2.0,2,Not Placed
5.6,7.8,115,1,0,7.72,1,7.6,4.8,2,Placed
4.8,3.2,28,2,1,8.2,5,7.2,7.3,2,Placed
4.2,9.3,105,1,0,6.92,2,5.3,3.4,1,Placed
4.5,4.4,53,1,1,6.37,9,4.5,3.2,1,Placed
5.0,8.4,101,2,1,7.77,1,1.0,3.9,1,Not Placed
3.7,7.1,76,0,1,6.98,5,4.6,3.6,3,Not Placed
3.3,11.5,119,3,0,8.55,7,5.4,4.7,4,Placed
4.8,5.3,47,1,0,6.74,4,5.9,2.5,1,Not Placed
3.0,5.0,53,1,1,6.34,4,5.6,4.8,1,Not Placed
5.1,5.9,54,1,0,7.04,2,10.0,4.9,4,Placed
1.9,5.1,66,3,0,5.87,5,6.7,5.5,1,Placed
6.0,8.4,79,3,1,7.89,4,4.1,4.9,1,Placed
5.2,1.2,9,1,1,6.99,7,7.0,6.2,1,Placed
4.9,2.8,33,2,0,7.77,3,6.6,3.9,1,Placed
6.0,2.8,34,2,0,7.84,5,4.4,3.3,2,Not Placed
7.0,8.9,124,2,0,9.44,5,6.4,5.2,0,Placed
6.0,11.1,134,1,1,7.56,2,6.8,4.8,1,Placed
1.7,5.7,59,2,1,7.17,4,7.5,5.9,2,Placed
2.6,5.5,74,2,0,6.48,2,3.3,2.5,0,Not Placed
3.6,6.2,73,0,0,7.67,4,7.0,3.3,2,Not Placed
4.5,9.5,81,3,1,7.35,0,8.1,7.5,2,Placed
5.3,3.2,38,1,0,7.09,3,8.8,6.9,2,Placed
3.4,6.7,96,4,0,6.52,5,4.2,2.8,0,Placed
4.8,8.9,96,3,1,6.42,3,5.8,4.4,1,Placed
3.4,7.5,75,4,0,6.61,2,5.9,5.2,1,Not Placed
3.6,6.6,59,3,1,6.91,2,7.0,6.4,2,Placed
2.4,9.0,81,0,0,6.23,5,5.8,2.7,1,Placed
3.1,0.0,0,2,0,7.49,1,4.9,3.1,3,Not Placed
2.5,8.0,97,2,1,6.13,1,6.3,4.1,1,Placed
3.0,4.0,34,1,0,5.19,3,5.5,2.7,4,Not Placed
6.1,0.5,7,1,1,10.0,4,6.8,5.8,0,Not Placed
3.1,7.5,100,1,0,6.05,1,4.8,3.1,0,Not Placed
8.4,10.1,122,4,0,9.9,7,4.5,5.3,1,Placed
5.2,5.6,77,1,0,6.57,1,8.0,3.4,1,Placed
4.8,8.9,75,2,0,7.56,2,9.4,7.3,1,Placed
3.2,10.8,122,0,0,6.05,2,8.7,3.8,5,Placed
5.6,9.9,123,1,0,5.8,5,5.9,4.0,0,Placed
3.6,10.9,150,4,0,6.62,3,7.6,6.1,0,Placed
4.7,8.2,110,0,0,7.31,2,5.0,1.9,1,Not Placed
8.3,6.2,61,2,1,9.02,4,6.8,6.0,0,Placed
4.4,1.2,17,0,1,7.35,2,5.1,4.2,3,Placed
6.2,5.3,46,3,1,7.92,2,7.9,9.4,2,Placed
3.4,3.5,49,2,0,6.77,5,7.7,5.7,2,Not Placed
4.4,12.5,185,2,0,7.34,2,9.1,6.4,1,Not Placed
7.2,5.5,50,2,1,8.55,4,5.7,6.2,0,Placed
3.6,6.4,83,1,0,6.66,0,8.4,5.3,2,Not Placed
7.2,7.7,63,2,0,7.98,8,6.8,4.5,2,Placed
5.6,6.1,66,2,1,8.2,1,6.1,5.6,0,Not Placed
3.7,11.1,128,3,1,6.63,5,6.5,6.9,0,Not Placed
5.4,4.1,49,3,0,7.47,2,8.5,7.5,1,Placed
6.0,6.6,95,1,0,8.34,5,5.8,2.0,3,Placed
5.4,3.8,47,3,1,7.86,1,5.9,3.8,2,Placed
2.1,2.0,23,3,0,5.58,4,2.9,4.6,4,Not Placed
3.4,4.2,56,4,1,7.58,3,5.8,5.5,1,Placed
4.1,5.9,86,0,1,6.23,3,6.4,2.5,3,Placed
4.4,4.7,38,1,1,6.47,2,4.9,2.3,2,Placed
5.4,3.9,58,0,0,8.18,2,4.5,4.0,0,Not Placed
4.8,1.8,15,1,0,8.61,2,3.2,3.1,0,Not Placed
2.5,5.8,78,0,1,5.84,5,5.1,2.8,2,Not Placed
5.1,1.5,14,2,1,7.82,4,8.1,5.5,2,Placed
5.4,8.3,73,5,1,6.87,2,3.8,5.9,2,Placed
5.3,6.2,69,0,0,7.02,4,7.2,4.5,1,Placed
6.1,1.6,20,6,0,8.85,6,7.3,7.0,3,Placed
5.8,5.1,54,0,1,8.13,6,9.7,5.1,2,Placed
5.2,3.7,31,4,1,8.41,2,7.6,8.3,1,Placed
4.4,7.0,84,2,1,7.96,1,7.4,5.9,4,Placed
2.0,10.0,143,3,1,5.0,2,6.6,5.9,2,Not Placed
5.1,0.4,4,1,0,6.74,2,6.0,4.2,0,Not Placed
4.8,6.3,60,4,1,7.6,4,7.3,4.9,1,Placed
4.9,5.5,61,2,1,6.27,2,7.9,6.6,1,Placed
2.6,8.0,66,1,0,5.55,3,6.3,4.1,2,Placed
2.9,6.6,91,0,1,7.44,3,7.9,3.6,2,Not Placed
6.1,3.7,51,3,0,7.66,4,10.0,4.9,1,Placed
4.4,5.0,61,4,0,7.72,2,6.1,4.9,1,Placed
5.5,3.6,37,2,1,7.74,2,6.1,5.5,1,Placed
4.5,9.2,125,4,0,6.8,2,5.9,5.6,1,Placed
4.5,6.1,72,3,0,6.11,1,6.2,6.6,0,Not Placed
5.9,11.7,161,2,0,8.12,4,7.8,5.3,2,Placed
3.7,5.8,72,5,0,7.88,1,6.1,4.7,3,Placed
